case,n,rmse_C,mae_C,bias_C,corr,measured_amp_C,model_amp_C,amp_error_C,measured_peak_C,model_peak_C,peak_error_C
main_T2A_vs_T_s_in_raw,3465,2.884712875409033,2.828475583582162,2.828475583582162,0.5669096204954034,2.2398145999999954,1.9899407989615376,-0.2498738010384578,28.127127,30.5312732983158,2.4041462983157977
main_T2A_vs_T_s_in_bias_corrected,3465,0.5668282337976827,0.48495391466363275,6.233910293537387e-16,0.5669096204954034,2.2398145999999954,1.9899407989615376,-0.2498738010384578,28.127127,27.702797714733638,-0.4243292852663636
diagnostic_T1Tb_vs_T_s_in_raw,3465,3.1842590625182785,2.7746077766604684,0.14336222485200326,0.35016049484359874,10.078090799999995,1.9899407989615376,-8.088150001038457,38.172465,30.5312732983158,-7.641191701684203
diagnostic_T1Tb_vs_T_s_in_bias_corrected,3465,3.181030186860111,2.7493699418012114,1.574882600472603e-15,0.3501604948435988,10.078090799999995,1.9899407989615376,-8.088150001038457,38.172465,30.387911073463798,-7.784553926536205
