pair,sensor,model_node,n,rmse_C,mae_C,bias_C,corr,measured_amp_C,model_amp_C,amp_error_C,measured_peak_C,model_peak_C,peak_error_C
Tanah atas,T1Ke,T_g_top,3465,6.976758209349159,5.581685488741816,3.8902168266004007,-0.08972034616496168,7.2298686,17.049949737020878,9.820081137020878,35.04812,56.36535794963697,21.317237949636976
Tanah bawah,T2A,T_g_bot,3465,3.477541063956163,3.362403663489797,3.362403663489797,0.11001889699478228,2.2398145999999954,2.1631586319749054,-0.07665596802509,28.127127,31.13868110946464,3.0115541094646368
Atap outdoor / top slab,T1Ta,T_s_top,3465,5.663957487632545,4.960704333696397,0.9166534597385068,-0.0714632225231271,16.576853000000003,2.1060140214104557,-14.470838978589548,44.486429,31.019981665528007,-13.466447334471994
Atap indoor / bottom slab,T1Tb,T_s_in,3465,3.1842590625182785,2.7746077766604684,0.14336222485200326,0.35016049484359874,10.078090799999995,1.9899407989615376,-8.088150001038457,38.172465,30.5312732983158,-7.641191701684203
Ruangan,T1Ka,T_in_used,3465,0.008807547774252456,0.0058442670212817205,0.000495175091041097,0.9999746504727548,4.093790599999998,4.0921684636762805,-0.001622136323717882,31.306007,31.30475148394328,-0.0012555160567195855
