case,target,model,rmse_C,bias_C,corr,measured_amp_C,model_amp_C,amp_error_C
CAM raw,soil_bottom__measured__T2A,slab_bottom__model__T_s_in,2.884712875409033,2.828475583582162,0.5669096204954034,2.2398145999999954,1.9899407989615376,-0.2498738010384578
CAM bias-corrected,soil_bottom__measured__T2A,slab_bottom__model__T_s_in,0.5668282337976827,6.233910293537387e-16,0.5669096204954034,2.2398145999999954,1.9899407989615376,-0.2498738010384578
C3 raw,c3_main__measured__T3Ka,c3_main__model__T_s_in,2.491289304112112,2.0503268545977353,0.10108655470246966,3.27588845,3.976697537006878,0.7008090870068777
C3 bias-corrected,c3_main__measured__T3Ka,c3_main__model__T_s_in,1.4151615406372409,4.200252625182858e-16,0.10108655470246955,3.27588845,3.976697537006878,0.7008090870068777
