sensor,T_in_used,T_f,T_g_top,T_g_mid,T_g_bot,T_s_in
T1Ka,0.008807547774252453,19.078847789456653,3.9546384920769238,2.1550815036539097,1.1964573811651447,0.9211608875080943
T1Ke,1.6238487120987948,18.761087413059055,3.8074202446972087,2.3556654038630045,2.213864469324862,2.14585184569585
T1Ta,4.865728239533763,18.810521623688064,5.405939370338977,5.002654433635757,5.433662226948385,5.421339261669312
T1Tb,2.4210497477902564,18.992337486799,4.668798577585996,3.433320638717288,3.2225346703375606,3.09163980116351
T2A,1.9838875465681398,19.66620411601004,4.800578013382708,3.254110790892483,2.3613159014281275,2.1574466064198923
T2A2,1.5476233016279723,19.18427246218582,4.110143087649833,2.6284070136371773,2.2334831801223527,2.1026349027721993
