channel,amp_95_05_C,corr_with_solar_best,lag_from_solar_min,corr_with_Tair,corr_with_T1Ta,corr_with_T1Ka,score_exposed_surface,score_upper_substrate,score_lower_substrate,score_indoor_air,score_inner_roof_surface,rank_exposed_surface,rank_upper_substrate,rank_lower_substrate,rank_indoor_air,rank_inner_roof_surface
T1Ka,4.093790599999998,0.7246383141280451,-245,0.4409008863325636,0.626750978974019,,4.8841574427445735,1.3661766504595123,0.6756450079305407,1.9814167186116678,0.9989687555863969,5,6,3,1,4
T1Ke,7.2298686,0.8105464732829127,-145,0.7922868885242077,0.9004664150285461,0.8486128079180645,8.240080713350814,1.9879705392589644,0.5578609029603565,1.3727647242577632,1.4513309103941636,3,1,4,4,2
T1Ta,16.576853000000003,0.8527140022158018,-80,0.9473434060777265,,0.626750978974019,17.840679292722992,1.4920368647669187,0.40157966687570845,0.7075839289378053,0.5643353426554001,1,5,6,6,5
T1Tb,10.078090799999995,0.8106981899345859,-185,0.6902782092038467,0.8367298133566848,0.9196161953189104,11.016810682589433,1.727006157517272,0.404962992641843,1.216142852028521,1.6231699680831442,2,3,5,5,1
T2A,2.2398145999999954,-0.711978305227769,180,-0.009099746529106443,0.14937651570356597,0.779251076031552,3.0871281884643773,1.54138783573637,1.6884569890135617,1.4825051208644426,0.4445998407477421,6,4,1,3,6
T2A2,5.355825600000003,0.8257780962796263,-115,0.8780725921948943,0.9333726247840524,0.7388796051485766,6.46025954442116,1.793310827719047,0.7021102906838559,1.5013701887134054,1.3691944399403737,4,2,2,2,3
