score,day_q_mean_W_m2,night_q_mean_W_m2,n,bias_C,mae_C,rmse_C,r_C,amp_obs_C,amp_pred_C,amp_error_C,peak_error_C,min_error_C,cam_amplitude_scale,cam_day_max_W_m2,cam_night_max_W_m2,lai,cover_fraction,solar_absorptivity,h_out_W_m2K,h_in_W_m2K,soil_k_W_mK,soil_rho_kg_m3,soil_cp_J_kgK,concrete_k_W_mK,initial_temp_C
1.7444830968621243,3.5356347002310686,4.536349835058993,3465,0.9166867172334807,1.4619215097283036,1.7444830408358416,0.8954637914050797,13.027245000000004,13.027245373508556,3.7350855208728717e-07,1.2265259167169233,1.2265255432083713,1.2,6.266960767629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979522858977,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.7444830969417873,3.535634718528069,4.53634985853472,3465,0.9166867175328963,1.4619215097261735,1.7444830408528267,0.895463791429328,13.027245000000004,13.027245373926409,3.739264045066193e-07,1.2265259167169233,1.2265255427905188,1.2,6.266960767629903,22.324289030574306,1.3164775609108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.7444830969841032,3.535634700754603,4.5363498370606745,3465,0.9166867178487926,1.4619215098698308,1.74448304096694,0.8954637914385478,13.027245000000004,13.027245373447759,3.7344775449810186e-07,1.2265259167169233,1.2265255432691688,1.2,6.266960767629903,22.324289040574307,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.7444830969851064,3.5356347040078293,4.536349835167076,3465,0.9166867178472825,1.4619215098801386,1.7444830409743386,0.8954637914371356,13.027245000000004,13.027245373405123,3.7340511838124257e-07,1.2265259167169233,1.226525543311805,1.2,6.266960777629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.7444830969874106,3.5356347002310686,4.536349835058993,3465,0.9166867178713394,1.4619215098826681,1.7444830409769518,0.8954637914388848,13.027245000000004,13.027245373403062,3.7340305780730887e-07,1.2265259167169233,1.2265255433138655,1.2,6.266960767629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.744483096989145,3.5356347002310686,4.536349835058993,3465,0.916686717871836,1.461921509884815,1.7444830409787375,0.8954637914386163,13.027245000000004,13.027245373402721,3.734027167467957e-07,1.2265259167169233,1.2265255433142066,1.2,6.266960767629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288617462,2.2,39.398990916716926
1.744483096992039,3.5356347002310686,4.536349835058993,3465,0.9166867178729395,1.4619215098884275,1.7444830409817509,0.8954637914381898,13.027245000000004,13.027245373401925,3.7340192093893165e-07,1.2265259167169233,1.2265255433150024,1.2,6.266960767629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397911161,930.4699288517462,2.2,39.398990916716926
1.7444830970608605,3.535634670767447,4.536349797256078,3465,0.9166867184163389,1.4619215101346652,1.7444830411768222,0.8954637914542758,13.027245000000004,13.027245372560259,3.725602546467144e-07,1.2265259167169233,1.2265255441566687,1.19999999,6.266960767629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.744483097077341,3.5356346641531626,4.536349788769708,3465,0.9166867185386782,1.4619215101912264,1.7444830412216823,0.8954637914577317,13.027245000000004,13.027245372371063,3.7237105843246354e-07,1.2265259167169233,1.226525544345865,1.2,6.266960767629903,22.324289030574306,1.3164775509108297,0.9799999899999999,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.2,39.398990916716926
1.7444830972829546,3.5356347002310686,4.536349835058993,3465,0.9166867170434931,1.4619215105980528,1.7444830413080776,0.895463791305411,13.027245000000004,13.02724537316585,3.7316584666768904e-07,1.2265259167169233,1.2265255435510767,1.2,6.266960767629903,22.324289030574306,1.3164775509108297,0.98,0.6106508015903135,21.227979512858976,10.0,0.95,356.8027397811161,930.4699288517462,2.1999999900000002,39.398990916716926
