datetime,T_physics_C,T_measured_C,T_a,G_sol,T_in_used,theta_top,theta_mid,theta_bot,theta_mean,j_pr,j_rain,j_irrigation,irrigation_flag,j_eva,q_s_in,T_f,T_g_top,T_g_mid,T_g_bot,residual_C,hour,sin_hour,cos_hour,plant_type
2026-04-09 11:05:00,28.565245853403553,28.561738,28.899999999999977,441.0,29.5,0.7148571871737722,0.6868114105997187,0.6679530644241579,0.6891672562645398,0.0,0.0,0.0,0.0,7.615183723974254e-05,-7.478033172771575,28.894490880932665,29.154026984176483,28.899999999999977,28.89999999999992,-0.0035078534035548614,11.083333333333334,0.23768589232617293,-0.9713420698132614,C3
2026-04-09 11:06:00,28.599355026773935,28.575379,28.899999999999977,450.0,28.81477960377066,0.711946630920163,0.6876090987343617,0.6674400610209016,0.6888681552887632,0.0,0.0,0.0,0.0,0.00013183287364165012,-1.7233966159737975,28.07211493998875,30.746584152355467,28.90003378240067,28.880230287915936,-0.023976026773933512,11.1,0.23344536385590553,-0.9723699203976766,C3
2026-04-09 11:07:00,28.61272703855792,28.591298,28.80000000000001,450.0,28.818708882247734,0.7088549244816478,0.6882755579684303,0.6675892922471054,0.6885695286686472,0.0,0.0,0.0,0.0,0.00014266269118005362,-1.6478547495185012,27.915785076987675,30.958325890362914,28.903563817898657,28.870328560112966,-0.021429038557922553,11.116666666666667,0.22920039092241454,-0.9733792584604484,C3
2026-04-09 11:08:00,28.622985510072226,28.590723,28.80000000000001,469.0,28.807500315147422,0.7062252608653772,0.6886421986671494,0.668184831432002,0.6882891813173132,0.0,0.0,0.0,0.0,0.0001058239383953669,-1.4761184406015673,28.27944255685236,31.54545782901937,28.92164018338036,28.86270935488102,-0.03226251007222558,11.133333333333333,0.2249510543438652,-0.9743700647852351,C3
2026-04-09 11:09:00,28.631742344243094,28.600772,28.80000000000001,480.0,28.820749365754352,0.7038131997256778,0.6887913344740086,0.6690307191246734,0.6880209232614729,0.0,0.0,0.0,0.0,0.00013227639624025626,-1.5120561720900696,28.328654404465112,31.898543491891928,28.95685224051863,28.856294717791172,-0.030970344243094416,11.15,0.22069743502150113,-0.9753423205085127,C3
2026-04-09 11:10:00,28.63988250201129,28.603104,28.80000000000001,454.0,28.82985509798391,0.701628965791113,0.6887918030487006,0.6699960089806278,0.6877524136057904,0.0,0.0,0.0,0.0,0.00014123251410934866,-1.5197807677809578,28.05207898031489,31.78156384205056,29.006682427181772,28.850714257713605,-0.03677850201129118,11.166666666666666,0.21643961393810318,-0.9762960071199333,C3
2026-04-09 11:11:00,28.64697393031821,28.61731,28.80000000000001,490.0,28.826531419932053,0.6996759731358169,0.6886918366393077,0.6709989793109561,0.6874878932787486,0.0,0.0,0.0,0.0,0.0001489210744104098,-1.436459916910735,28.034628224092558,31.874249602083637,29.069100247725032,28.84585602487209,-0.02966393031821113,11.183333333333334,0.2121776721564464,-0.9772311064626789,C3
2026-04-09 11:12:00,28.653440796749408,28.616257,28.80000000000001,462.0,28.832465345039054,0.6980607795158417,0.6885243638722114,0.6719893362508008,0.6872360203113671,0.0,0.0,0.0,0.0,0.00011467164609718811,-1.4321963863171732,28.364075659654475,32.19536858306469,29.138816874500776,28.84172140612594,-0.03718379674940664,11.2,0.20791169081775931,-0.9781476007338057,C3
2026-04-09 11:13:00,28.659549179421276,28.624513,28.80000000000001,450.0,28.834866182702115,0.6967789205405384,0.6883131541987894,0.6729370782007137,0.6870101184072227,0.0,0.0,0.0,0.0,7.123098229561801e-05,-1.4025360262467075,29.587251028174308,32.99803592347672,29.210801350444854,28.83835442042067,-0.035036179421275904,11.216666666666667,0.2036417511401777,-0.9790454724845838,C3
2026-04-09 11:14:00,28.66542034946673,28.622524,28.899999999999977,450.0,28.85118747373616,0.6951696721091474,0.6880771845846194,0.6738252995172805,0.6867686518180826,0.0,0.0,0.0,0.0,0.00014694979320504782,-1.4861369941554585,28.333209155687882,32.49052541982138,29.284417998208482,28.835798793962397,-0.042896349466730044,11.233333333333333,0.19936793441719725,-0.9799247046208296,C3
