datetime,T_physics_C,T_measured_C,T_a,G_sol,T_in_used,theta_top,theta_mid,theta_bot,theta_mean,j_pr,j_rain,j_irrigation,irrigation_flag,j_eva,q_s_in,T_f,T_g_top,T_g_mid,T_g_bot,residual_C,hour,sin_hour,cos_hour,plant_type
2026-03-31 11:58:00,29.9485120078229,29.943716,31.19999999999999,339.0,29.5,0.7807038577050031,0.7097010437667302,0.6619661260870725,0.7155926497382923,0.0,0.0,0.0,0.0,1.8382255348719858e-05,3.5880960625831904,31.22306444395508,31.783807269223416,31.44955256544722,31.20200789858825,-0.00479600782290035,11.966666666666667,0.008726535498373959,-0.9999619230641713,CAM
2026-03-31 11:59:00,29.98803264815848,29.926393,31.100000000000023,533.0,28.26157039399618,0.7707840860259287,0.7149388215877883,0.6615447128781952,0.714829160177567,0.0,0.0,0.0,0.0,2.6277903607494913e-05,13.811698033298399,33.05009863705544,33.259895864145506,31.450409970717715,31.135760529738775,-0.06163964815847933,11.983333333333333,0.004363309284746866,-0.9999904807207345,CAM
2026-03-31 12:00:00,30.001176538292157,29.942422,31.100000000000023,533.0,28.291528501103812,0.7615193927564275,0.7171362668694892,0.662336772542789,0.7141874897220549,0.0,0.0,0.0,0.0,3.429661087585223e-05,13.677184297506756,35.08834881306689,34.17829992352074,31.452838231022724,31.1017531679758,-0.058754538292156155,12.0,1.2246467991473532e-16,-1.0,CAM
2026-03-31 12:01:00,30.012977759853754,29.958237,31.100000000000023,533.0,28.324280305497325,0.754312373594067,0.7177641585973663,0.6644725482215794,0.7136286866186508,0.0,0.0,0.0,0.0,4.124788158526695e-05,13.509579634851434,36.79159843739558,34.85666306527787,31.466011058207698,31.075624742414107,-0.05474075985375393,12.016666666666667,-0.0043633092847466205,-0.9999904807207345,CAM
2026-03-31 12:02:00,30.023721862423827,29.981967,31.100000000000023,650.0,28.35886987766395,0.7484765410083651,0.7176366324487045,0.6675387882254282,0.7131264760029771,0.0,0.0,0.0,0.0,4.939451167219472e-05,13.318815878079022,38.51637683297298,35.763245093586704,31.498749928317352,31.05363820526759,-0.041754862423825756,12.033333333333333,-0.008726535498373713,-0.9999619230641713,CAM
2026-03-31 12:03:00,30.034459041850255,30.004893,31.19999999999999,650.0,28.429963497477104,0.7423077971728274,0.7171266178220081,0.67106230630514,0.7125363651641202,0.0,0.0,0.0,0.0,0.0003466014022161119,12.835964354985208,33.8967290222314,33.534204528946645,31.552954806915864,31.034357853334086,-0.029566041850255687,12.05,-0.013089595571344391,-0.999914327574007,CAM
2026-03-31 12:04:00,30.04502069640148,30.019357,31.19999999999999,714.0,28.458594430720836,0.7380304952300165,0.7164086355969532,0.6746757894108973,0.7120000320845603,0.0,0.0,0.0,0.0,0.0002083669722650363,12.691410125445145,32.34172120079501,33.140321780273666,31.625488992816656,31.01712162558033,-0.02566369640148025,12.066666666666666,-0.017452406437283637,-0.9998476951563913,CAM
2026-03-31 12:05:00,30.054128520663824,30.037506,31.19999999999999,760.0,28.480357356179923,0.7346131326398933,0.715580319685734,0.6781471378051234,0.7115443884188029,0.0,0.0,0.0,0.0,0.00010889244602846628,12.590169315871208,33.66978750585008,33.955569479181065,31.698470956479582,31.001631187701832,-0.01662252066382308,12.083333333333334,-0.021814885034560975,-0.9997620270799091,CAM
2026-03-31 12:06:00,30.06326309719651,30.062959,31.19999999999999,740.0,28.519978968630824,0.7318104007521056,0.7147365291696397,0.6813521394610598,0.7111584078259299,0.0,0.0,0.0,0.0,4.280147949253198e-05,12.346273028525502,36.36544830328688,35.49533730434837,31.755660241273063,30.987763342652215,-0.00030409719651203204,12.1,-0.026176948307873177,-0.9996573249755573,CAM
2026-03-31 12:07:00,30.072769634206622,30.093889,31.30000000000001,740.0,28.584632752970833,0.7283438090469155,0.7139357851321946,0.6842374476966703,0.7107340643576893,0.0,0.0,0.0,0.0,0.00026437038842926205,11.905095049886313,36.02536973877716,34.63594876144265,31.802211913549513,30.975430232744827,0.021119365793378364,12.116666666666667,-0.030538513209822857,-0.9995335908367129,CAM
