timestamp,T2A,T1Ka_inner_roof,G_sol,T_a,RH
2026-03-31 13:28:00,26.543263,28.879893,130.0,31.3,78.0
2026-03-31 13:29:00,26.559705,28.878095,130.0,31.3,79.0
2026-03-31 13:30:00,26.559813,28.928107,116.0,31.2,79.0
2026-03-31 13:31:00,26.572673,28.912048,111.0,31.2,79.0
2026-03-31 13:32:00,26.576629,28.912604,111.0,31.1,80.0
2026-03-31 13:33:00,26.577297,28.920372,105.0,30.9,80.0
2026-03-31 13:34:00,26.588945,28.920312,104.0,30.8,81.0
2026-03-31 13:35:00,26.587804,28.924141,102.0,30.5,81.0
2026-03-31 13:36:00,26.608903,28.961278,102.0,30.3,81.0
2026-03-31 13:37:00,26.600955,28.933764,102.0,30.1,81.0
2026-03-31 13:38:00,26.605974,28.937857,102.0,29.9,81.0
2026-03-31 13:39:00,26.609543,28.891217,102.0,29.7,81.0
2026-03-31 13:40:00,26.611638,28.943851,102.0,29.5,81.0
2026-03-31 13:41:00,26.618594,28.936505,100.0,29.3,82.0
2026-03-31 13:42:00,26.628698,28.935007,100.0,29.1,82.0
2026-03-31 13:43:00,26.634201,28.943442,100.0,29.0,83.0
2026-03-31 13:44:00,26.641804,28.953241,100.0,28.9,83.0
2026-03-31 13:45:00,26.647647,28.943689,100.0,28.8,83.0
2026-03-31 13:46:00,26.652179,28.938209,100.0,28.7,83.0
2026-03-31 13:47:00,26.658584,28.962589,100.0,28.6,84.0
2026-03-31 13:48:00,26.659258,28.950076,100.0,28.5,83.0
2026-03-31 13:49:00,26.663247,28.948005,101.0,28.5,83.0
2026-03-31 13:50:00,26.68005,28.956249,102.0,28.4,84.0
2026-03-31 13:51:00,26.678722,28.955322,102.0,28.4,84.0
2026-03-31 13:52:00,26.676684,28.952285,102.0,28.3,84.0
2026-03-31 13:53:00,26.690792,28.973926,102.0,28.3,84.0
2026-03-31 13:54:00,26.693287,28.955294,102.0,28.2,85.0
2026-03-31 13:55:00,26.685606,28.955562,102.0,28.2,85.0
2026-03-31 13:56:00,26.700603,28.963569,104.0,28.1,85.0
2026-03-31 13:57:00,26.706528,28.964706,104.0,28.1,85.0
2026-03-31 13:58:00,26.703687,28.954198,104.0,28.1,85.0
2026-03-31 13:59:00,26.713236,28.955073,104.0,28.1,86.0
2026-03-31 14:00:00,26.710592,28.97416,105.0,28.1,86.0
2026-03-31 14:01:00,26.729763,28.965483,105.0,28.1,86.0
2026-03-31 14:02:00,26.709708,28.956438,105.0,28.1,86.0
2026-03-31 14:03:00,26.720075,28.952441,105.0,28.1,86.0
2026-03-31 14:04:00,26.734436,28.9681,105.0,28.1,86.0
2026-03-31 14:05:00,26.730642,28.961987,105.0,28.1,86.0
2026-03-31 14:06:00,26.727836,28.957587,105.0,28.1,86.0
2026-03-31 14:07:00,26.740179,28.978669,104.0,28.1,86.0
2026-03-31 14:08:00,26.740672,28.96997,102.0,28.1,86.0
2026-03-31 14:09:00,26.735521,28.958766,102.0,28.1,86.0
2026-03-31 14:10:00,26.749163,28.99215,102.0,28.1,86.0
2026-03-31 14:11:00,26.74806,28.972491,104.0,28.1,86.0
2026-03-31 14:12:00,26.749791,28.965756,104.0,28.1,86.0
2026-03-31 14:13:00,26.748476,28.988391,105.0,28.1,86.0
2026-03-31 14:14:00,26.750761,29.018815,105.0,28.1,86.0
2026-03-31 14:15:00,26.765171,29.007631,105.0,28.1,86.0
2026-03-31 14:16:00,26.754794,28.998674,104.0,28.1,86.0
2026-03-31 14:17:00,26.754108,29.012089,100.0,28.1,86.0
2026-03-31 14:18:00,26.768796,29.006434,100.0,28.1,86.0
2026-03-31 14:19:00,26.765852,29.00435,102.0,28.1,86.0
2026-03-31 14:20:00,26.769276,29.011754,102.0,28.1,85.0
2026-03-31 14:21:00,26.770374,29.007883,102.0,28.1,86.0
2026-03-31 14:22:00,26.778893,29.02724,102.0,28.1,86.0
2026-03-31 14:23:00,26.780502,29.020747,102.0,28.1,85.0
2026-03-31 14:24:00,26.780612,29.022146,99.0,28.1,85.0
2026-03-31 14:25:00,26.791174,29.023279,98.0,28.2,85.0
2026-03-31 14:26:00,26.789046,29.020211,97.0,28.2,85.0
2026-03-31 14:27:00,26.779674,29.033113,95.0,28.2,85.0
2026-03-31 14:28:00,26.799059,29.047282,93.0,28.2,85.0
2026-03-31 14:29:00,26.786958,29.043135,91.0,28.3,85.0
2026-03-31 14:30:00,26.799439,29.034823,90.0,28.3,85.0
2026-03-31 14:31:00,26.784036,29.048177,90.0,28.3,85.0
2026-03-31 14:32:00,26.789792,29.063217,90.0,28.3,85.0
2026-03-31 14:33:00,26.793967,29.071114,90.0,28.3,85.0
2026-03-31 14:34:00,26.795244,29.075698,90.0,28.3,85.0
2026-03-31 14:35:00,26.790957,29.071875,90.0,28.3,85.0
2026-03-31 14:36:00,26.801789,29.068682,91.0,28.4,85.0
2026-03-31 14:37:00,26.80155,29.061784,93.0,28.4,85.0
2026-03-31 14:38:00,26.811146,29.084361,95.0,28.4,85.0
2026-03-31 14:39:00,26.797993,29.095698,100.0,28.4,85.0
2026-03-31 14:40:00,26.806685,29.093667,104.0,28.4,85.0
2026-03-31 14:41:00,26.807686,29.100959,105.0,28.4,85.0
2026-03-31 14:42:00,26.809828,29.095616,107.0,28.4,85.0
2026-03-31 14:43:00,26.821957,29.098152,107.0,28.5,85.0
2026-03-31 14:44:00,26.816103,29.107863,107.0,28.5,85.0
2026-03-31 14:45:00,26.829785,29.100786,111.0,28.5,85.0
2026-03-31 14:46:00,26.815506,29.126552,113.0,28.5,85.0
2026-03-31 14:47:00,26.8228,29.123752,113.0,28.5,85.0
2026-03-31 14:48:00,26.817536,29.140074,113.0,28.6,85.0
2026-03-31 14:49:00,26.824904,29.131087,120.0,28.6,85.0
2026-03-31 14:50:00,26.829313,29.130873,123.0,28.6,85.0
2026-03-31 14:51:00,26.831942,29.128411,127.0,28.6,85.0
2026-03-31 14:52:00,26.826273,29.149676,134.0,28.6,85.0
2026-03-31 14:53:00,26.836805,29.166106,137.0,28.6,85.0
2026-03-31 14:54:00,26.834014,29.17272,142.0,28.6,85.0
2026-03-31 14:55:00,26.833462,29.163733,142.0,28.5,85.0
2026-03-31 14:56:00,26.832344,29.157575,156.0,28.5,85.0
2026-03-31 14:57:00,26.834261,29.165871,165.0,28.5,85.0
2026-03-31 14:58:00,26.840762,29.179186,172.0,28.5,86.0
2026-03-31 14:59:00,26.838542,29.1719,172.0,28.5,86.0
2026-03-31 15:00:00,26.841955,29.173399,213.0,28.5,86.0
2026-03-31 15:01:00,26.849654,29.159249,232.0,28.5,86.0
2026-03-31 15:02:00,26.850086,29.177219,253.0,28.6,86.0
2026-03-31 15:03:00,26.844548,29.190402,253.0,28.6,86.0
2026-03-31 15:04:00,26.852903,29.189112,253.0,28.6,86.0
2026-03-31 15:05:00,26.859151,29.214778,323.0,28.6,86.0
2026-03-31 15:06:00,26.853998,29.204734,332.0,28.7,86.0
2026-03-31 15:07:00,26.851003,29.209501,311.0,28.7,86.0
2026-03-31 15:08:00,26.850902,29.209274,313.0,28.7,86.0
2026-03-31 15:09:00,26.856395,29.207077,320.0,28.8,86.0
2026-03-31 15:10:00,26.865835,29.216202,320.0,28.8,85.0
2026-03-31 15:11:00,26.869312,29.240159,366.0,28.9,85.0
2026-03-31 15:12:00,26.852357,29.24266,396.0,28.9,84.0
2026-03-31 15:13:00,26.861907,29.249815,401.0,29.0,84.0
2026-03-31 15:14:00,26.861991,29.255191,397.0,29.1,84.0
2026-03-31 15:15:00,26.870782,29.256955,376.0,29.1,83.0
2026-03-31 15:16:00,26.885264,29.269048,376.0,29.2,84.0
2026-03-31 15:17:00,26.869497,29.263584,378.0,29.2,84.0
2026-03-31 15:18:00,26.874847,29.286943,399.0,29.3,83.0
2026-03-31 15:19:00,26.874305,29.296069,397.0,29.3,82.0
2026-03-31 15:20:00,26.885882,29.306029,345.0,29.4,82.0
2026-03-31 15:21:00,26.883531,29.331096,345.0,29.4,82.0
2026-03-31 15:22:00,26.883161,29.314193,345.0,29.6,82.0
2026-03-31 15:23:00,26.881156,29.335294,411.0,29.6,82.0
2026-03-31 15:24:00,26.87529,29.336506,411.0,29.7,82.0
2026-03-31 15:25:00,26.890598,29.339101,411.0,29.7,82.0
2026-03-31 15:26:00,26.892677,29.361638,378.0,29.8,82.0
2026-03-31 15:27:00,26.884238,29.371541,429.0,29.9,82.0
2026-03-31 15:28:00,26.892523,29.358948,452.0,29.9,83.0
2026-03-31 15:29:00,26.897548,29.381933,427.0,30.0,83.0
2026-03-31 15:30:00,26.896624,29.390597,413.0,30.1,82.0
2026-03-31 15:31:00,26.889664,29.404073,411.0,30.2,81.0
2026-03-31 15:32:00,26.901996,29.409831,360.0,30.2,81.0
2026-03-31 15:33:00,26.899117,29.422358,278.0,30.3,81.0
2026-03-31 15:34:00,26.903125,29.443812,366.0,30.4,81.0
2026-03-31 15:35:00,26.905749,29.456523,371.0,30.4,81.0
2026-03-31 15:36:00,26.906176,29.464908,362.0,30.6,81.0
2026-03-31 15:37:00,26.901975,29.492616,329.0,30.6,81.0
2026-03-31 15:38:00,26.913928,29.491963,329.0,30.7,81.0
2026-03-31 15:39:00,26.904237,29.505824,206.0,30.7,81.0
2026-03-31 15:40:00,26.919374,29.525585,246.0,30.8,81.0
2026-03-31 15:41:00,26.918444,29.536126,250.0,30.9,81.0
2026-03-31 15:42:00,26.913704,29.537354,330.0,30.9,81.0
2026-03-31 15:43:00,26.927928,29.542495,330.0,30.9,81.0
2026-03-31 15:44:00,26.92533,29.549385,355.0,30.9,81.0
2026-03-31 15:45:00,26.926716,29.562978,359.0,30.9,81.0
2026-03-31 15:46:00,26.942047,29.563273,359.0,30.9,80.0
2026-03-31 15:47:00,26.94345,29.573463,341.0,30.9,81.0
2026-03-31 15:48:00,26.945029,29.571906,338.0,30.9,81.0
2026-03-31 15:49:00,26.94673,29.577997,346.0,30.9,81.0
2026-03-31 15:50:00,26.949362,29.588745,339.0,30.9,81.0
2026-03-31 15:51:00,26.956367,29.590953,327.0,31.0,81.0
2026-03-31 15:52:00,26.959779,29.596629,320.0,31.1,81.0
2026-03-31 15:53:00,26.95318,29.614384,304.0,31.1,80.0
2026-03-31 15:54:00,26.968573,29.622769,285.0,31.1,81.0
2026-03-31 15:55:00,26.976059,29.613843,287.0,31.1,81.0
2026-03-31 15:56:00,26.976673,29.625926,316.0,31.2,81.0
2026-03-31 15:57:00,26.985373,29.622298,330.0,31.2,81.0
2026-03-31 15:58:00,26.988009,29.625949,336.0,31.2,81.0
2026-03-31 15:59:00,26.991181,29.647831,336.0,31.2,80.0
2026-03-31 16:00:00,26.996269,29.642113,336.0,31.2,80.0
2026-03-31 16:01:00,26.999093,29.622359,334.0,31.2,80.0
2026-03-31 16:02:00,27.005439,29.6491,345.0,31.2,81.0
2026-03-31 16:03:00,27.011853,29.654612,350.0,31.2,80.0
2026-03-31 16:04:00,27.007243,29.672572,336.0,31.2,81.0
2026-03-31 16:05:00,27.025955,29.690305,301.0,31.2,81.0
2026-03-31 16:06:00,27.024803,29.681315,301.0,31.2,81.0
2026-03-31 16:07:00,27.02922,29.683559,214.0,31.2,80.0
2026-03-31 16:08:00,27.035155,29.68754,213.0,31.2,80.0
2026-03-31 16:09:00,27.032729,29.706915,178.0,31.2,80.0
2026-03-31 16:10:00,27.04042,29.70812,162.0,31.1,80.0
2026-03-31 16:11:00,27.044552,29.710711,162.0,31.1,80.0
2026-03-31 16:12:00,27.05273,29.711264,169.0,31.0,80.0
2026-03-31 16:13:00,27.053735,29.710647,186.0,30.9,81.0
2026-03-31 16:14:00,27.069385,29.719569,246.0,30.9,81.0
2026-03-31 16:15:00,27.072572,29.723429,255.0,30.9,81.0
2026-03-31 16:16:00,27.066603,29.724266,248.0,30.9,81.0
2026-03-31 16:17:00,27.085804,29.730718,264.0,30.9,81.0
