candidate,date,candidate_peak_time,T1Ka_peak_time,candidate_minus_T1Ka_peak_min,candidate_amp_C,T1Ka_amp_C
T2A,2026-03-31,2026-03-31 19:49:00,2026-03-31 16:53:00,176.0,1.1838520000000017,1.4303729999999995
T2A,2026-04-01,2026-04-01 17:18:00,2026-04-01 15:14:00,124.0,2.3266694500000042,4.233062750000002
T2A,2026-04-02,2026-04-02 14:31:00,2026-04-02 12:36:00,115.0,1.5482190500000002,3.134302400000003
T2A2,2026-03-31,2026-03-31 13:20:00,2026-03-31 16:53:00,-213.0,3.8291819999999994,1.4303729999999995
T2A2,2026-04-01,2026-04-01 14:43:00,2026-04-01 15:14:00,-31.0,4.712150600000001,4.233062750000002
T2A2,2026-04-02,2026-04-02 12:36:00,2026-04-02 12:36:00,0.0,6.146384049999998,3.134302400000003
