datetime,T_physics_C,T_measured_C,T_a,G_sol,T_in_used,theta_top,theta_mid,theta_bot,theta_mean,j_pr,j_rain,j_irrigation,irrigation_flag,j_eva,q_s_in,T_f,T_g_top,T_g_mid,T_g_bot,residual_C,hour,sin_hour,cos_hour,plant_type,case,is_CAM,is_C3
2026-03-31 11:58:00,29.032224140116682,29.021291,31.19999999999999,339.0,29.5,0.7807038577050031,0.7097010437667302,0.6619661260870725,0.7155926497382923,0.0,0.0,0.0,0.0,1.8382255348719858e-05,-3.7422068790665435,31.22306444395508,31.783807269223416,31.44955256544722,31.20200789858825,-0.010933140116680562,11.966666666666667,0.008726535498373959,-0.9999619230641713,CAM,CAM_main,1,0
2026-03-31 11:59:00,29.1654596954275,28.943341,31.100000000000023,533.0,28.26157039399618,0.7707840860259287,0.7149388215877883,0.6615447128781952,0.714829160177567,0.0,0.0,0.0,0.0,2.6277903607494913e-05,7.231114411450562,33.05009863705544,33.259895864145506,31.450409567839813,31.08179842885255,-0.2221186954275005,11.983333333333333,0.004363309284746866,-0.9999904807207345,CAM,CAM_main,1,0
2026-03-31 12:00:00,29.22167250037728,28.910247,31.100000000000023,533.0,28.291528501103812,0.7615193927564282,0.7171362668694892,0.662336772542789,0.7141874897220549,0.0,0.0,0.0,0.0,3.429661087555595e-05,7.441151994187749,35.088348813066204,34.17829992340694,31.452772466878628,31.020770742959428,-0.31142550037728256,12.0,1.2246467991473532e-16,-1.0,CAM,CAM_main,1,0
2026-03-31 12:01:00,29.265907750764654,28.898637,31.100000000000023,533.0,28.324280305497325,0.7543123735942844,0.7177641585973662,0.6644725482215792,0.7136286866186649,0.0,0.0,0.0,0.0,4.124788147588098e-05,7.533019562138634,36.79159843689172,34.85666302487016,31.465501308089756,30.97386552994419,-0.36727075076465354,12.016666666666667,-0.0043633092847466205,-0.9999904807207345,CAM,CAM_main,1,0
2026-03-31 12:02:00,29.303560773241884,28.931355,31.100000000000023,650.0,28.35886987766395,0.7484765410160215,0.7176366324487085,0.6675387882254281,0.7131264760035649,0.0,0.0,0.0,0.0,4.939450869951674e-05,7.55752716462348,38.51637681222519,35.76324405066242,31.49715805422477,30.934368186296297,-0.372205773241884,12.033333333333333,-0.008726535498373713,-0.9999619230641713,CAM,CAM_main,1,0
2026-03-31 12:03:00,29.337673307188766,28.957709,31.19999999999999,650.0,28.429963497477104,0.7423077975228323,0.7171266178222035,0.6710623063051404,0.7125363651923649,0.0,0.0,0.0,0.0,0.00034660128653255065,7.2616784776932946,33.8967288935832,33.53419843482038,31.54961118638539,30.899675322630173,-0.3799643071887644,12.05,-0.013089595571344391,-0.999914327574007,CAM,CAM_main,1,0
2026-03-31 12:04:00,29.36909766333872,28.990118,31.19999999999999,714.0,28.458594430720836,0.7380304968606406,0.7164086356023232,0.674675789410899,0.7120000322496972,0.0,0.0,0.0,0.0,0.000208366566311124,7.284025860943075,32.34172064800981,33.14029680380702,31.61980265301338,30.86852447324162,-0.3789796633387219,12.066666666666666,-0.017452406437283637,-0.9998476951563913,CAM,CAM_main,1,0
2026-03-31 12:05:00,29.39715690865836,29.023346,31.19999999999999,760.0,28.480357356179923,0.7346131365861459,0.7155803197239776,0.6781471378051545,0.7115443889145348,0.0,0.0,0.0,0.0,0.0001088917721040193,7.334396419827499,33.66978451204693,33.95548942287445,31.689954523343715,30.840266065516005,-0.37381090865835986,12.083333333333334,-0.021814885034560975,-0.9997620270799091,CAM,CAM_main,1,0
2026-03-31 12:06:00,29.423716516180548,29.060477,31.19999999999999,740.0,28.519978968630824,0.7318104064392289,0.7147365293116392,0.6813521394614777,0.7111584087377996,0.0,0.0,0.0,0.0,4.2800874809342937e-05,7.229900380397794,36.36543816889406,35.49512777590019,31.743923095589935,30.81455692058256,-0.36323951618054906,12.1,-0.026176948307873177,-0.9996573249755573,CAM,CAM_main,1,0
2026-03-31 12:07:00,29.449382423427323,29.12568,31.30000000000001,740.0,28.584632752970833,0.728343831794358,0.7139357854766224,0.684237447699431,0.7107340669252968,0.0,0.0,0.0,0.0,0.0002643654446388039,6.917997363651921,36.02535057357835,34.63562274099263,31.786945020466135,30.791165430475075,-0.32370242342732425,12.116666666666667,-0.030538513209822857,-0.9995335908367129,CAM,CAM_main,1,0
2026-03-31 12:08:00,29.474444040663855,29.175507,31.30000000000001,740.0,28.64511058357874,0.7251978086500592,0.7131948437666559,0.6867927575906836,0.7102650783013925,0.0,0.0,0.0,0.0,0.0002858798171190483,6.634667656680904,33.04492439396353,33.599150339265975,31.834822408237756,30.769848156622118,-0.29893704066385496,12.133333333333333,-0.034899496702500456,-0.9993908270190958,CAM,CAM_main,1,0
2026-03-31 12:09:00,29.49746018332786,29.194475,31.399999999999977,784.0,28.647314320235125,0.7227132678169027,0.7124952595702373,0.6890321666039975,0.7098269548013142,0.0,0.0,0.0,0.0,0.0002497371317881931,6.801166904741876,32.1859248861644,33.22102192528598,31.889041824322817,30.750348255962763,-0.3029851833278592,12.15,-0.03925981575906871,-0.9992290362407229,CAM,CAM_main,1,0
2026-03-31 12:10:00,29.518573428825903,29.231518,31.399999999999977,784.0,28.677183419502,0.7205525809229585,0.7118328026260929,0.6909813582258276,0.7094172682661779,0.0,0.0,0.0,0.0,0.00022460093689502097,6.731120074591217,32.22206849634017,33.19714054755218,31.935901344168087,30.73246424913657,-0.2870554288259015,12.166666666666666,-0.04361938736533538,-0.9990482215818578,CAM,CAM_main,1,0
2026-03-31 12:11:00,29.53936927501502,29.269838,31.399999999999977,824.0,28.709440024616924,0.7189618819736822,0.711214744941092,0.6926692015644624,0.709052849560321,0.0,0.0,0.0,0.0,0.00010278682167648975,6.6394340031847605,33.761889587029486,34.21052541491201,31.96748172158425,30.716068590164582,-0.2695312750150194,12.183333333333334,-0.04797812852134395,-0.9988483864849507,CAM,CAM_main,1,0
2026-03-31 12:12:00,29.559032372677677,29.291772,31.399999999999977,824.0,28.74373109956474,0.717040731348497,0.7106459636077721,0.6941239352905108,0.7086982316612715,0.0,0.0,0.0,0.0,0.00022590322288115755,6.522410184903492,35.003968165781544,34.428007323737916,31.985906772036117,30.701046029030408,-0.26726037267767566,12.2,-0.052335956242943564,-0.9986295347545738,CAM,CAM_main,1,0
2026-03-31 12:13:00,29.578334029780308,29.328121,31.5,784.0,28.792881072732712,0.7151013978133924,0.7101291588382164,0.6953721931147483,0.7083110950926507,0.0,0.0,0.0,0.0,0.0002504471869191167,6.283623656380769,33.907531362914426,34.034100985660075,32.00111312838533,30.6872433728916,-0.25021302978030846,12.216666666666667,-0.05669278756337785,-0.9983916705573488,CAM,CAM_main,1,0
2026-03-31 12:14:00,29.596867547962745,29.343899,31.5,784.0,28.82135763846526,0.7136817929400078,0.7096504569566378,0.696438779713789,0.7079484650721383,0.0,0.0,0.0,0.0,0.00019070040109359467,6.204079275979893,33.87919468392636,34.14708682135358,32.02192323437896,30.674481726957197,-0.2529685479627446,12.233333333333333,-0.0610485395348565,-0.998134798421867,CAM,CAM_main,1,0
2026-03-31 12:15:00,29.61403201776767,29.372046,31.600000000000023,759.0,28.837700297952438,0.7123208222783355,0.7091981646058821,0.6973464334876464,0.7076035049455779,0.0,0.0,0.0,0.0,0.0001984336400165435,6.2106537585218575,34.24558007093492,34.24409502979313,32.045711966281374,30.66260675599625,-0.24198601776766893,12.25,-0.06540312923014287,-0.9978589232386035,CAM,CAM_main,1,0
