case,target_col,tin_proxy_col,tin_proxy_role,is_circular,n,bias_C,mae_C,rmse_C,corr,obs_amp_C,sim_amp_C,amp_error_C,obs_peak_time,sim_peak_time,Tf_min_C,Tf_max_C,Tin_used_min_C,Tin_used_max_C
T1Kd_internal_floor_proxy,T1Ka,T1Kd,T1Kd = floor-related sensor,False,3459,0.06954671847560995,0.6376822156729259,0.813385835976967,0.7746720496149468,4.846575000000001,2.563847385066765,-2.2827276149332363,2026-04-01 15:14:00,2026-04-02 14:50:00,21.397322754357788,48.479995673923895,27.51228299382268,30.385831740455615
T1Ke_indoor_air_proxy,T1Ka,T1Ke,T1Ke = tested T_air_in / indoor air proxy,False,3459,0.6138774581697998,0.6832923867216296,0.8440860053341978,0.9088311271348872,4.846575000000001,4.589061985419789,-0.25751301458021203,2026-04-01 15:14:00,2026-04-02 13:56:00,21.39828051117047,48.48028539484682,26.121396558847664,34.97356292392078
T1Kc_wall_proxy,T1Ka,T1Kc,T1Kc = west-side related sensor,False,3459,0.5550801052280152,0.6174812246150709,0.8506424132141953,0.9150547717441558,4.846575000000001,5.17927738228542,0.3327023822854187,2026-04-01 15:14:00,2026-04-02 14:00:00,21.39769264052785,48.476963435999664,25.837230652327776,35.84656530739335
T1Kb_wall_proxy,T1Ka,T1Kb,T1Kb = east-side related sensor,False,3459,0.6713437380982084,0.672701304815259,0.9154261614778926,0.9115739231249559,4.846575000000001,5.346705886344523,0.5001308863445217,2026-04-01 15:14:00,2026-04-02 13:59:00,21.398334373544856,48.49837975497309,25.909182306511866,35.93904154007083
default_no_dynamic_Tin,T1Ka,geom.T_in_default,default geom.T_in_default,False,3459,0.777253516417234,1.0361704917687027,1.1857257388048956,0.8097596010243208,4.846575000000001,1.942940789295335,-2.9036342107046664,2026-04-01 15:14:00,2026-04-02 14:38:00,21.399114568748473,48.52634776183169,29.5,29.5
T1Ka_circular_do_not_use,T1Ka,T1Ka,T1Ka = measured T_s_in / indoor roof surface,True,3459,0.06421178920951799,0.5072188083700953,0.6170766048316719,0.8759336930193804,4.846575000000001,3.138265342686566,-1.7083096573134355,2026-04-01 15:14:00,2026-04-01 16:19:00,21.395590888661445,48.46562800332572,26.462996838796926,31.304751483943278
