case,h_in_W_m2K,target_col,tin_proxy_col,outer_roof_candidate_col,n,bias_C,mae_C,rmse_C,corr,obs_amp_C,sim_amp_C,amp_error_C,abs_amp_error_C,obs_peak_time,sim_peak_time,Tf_min_C,Tf_max_C,Tin_used_min_C,Tin_used_max_C,obs_min_C,obs_max_C,sim_min_C,sim_max_C,target_role,tin_proxy_role,outer_roof_candidate_role,selection_score
T1Ke_upper_air_hin_8,8.0,T1Ka,T1Ke,T2A2,3459,0.6138774581697998,0.6832923867216296,0.8440860053341978,0.9088311271348872,4.846575000000001,4.589061985419789,-0.25751301458021203,0.25751301458021203,2026-04-01 15:14:00,2026-04-02 13:56:00,21.39828051117047,48.48028539484682,26.121396558847664,34.97356292392078,26.459432,31.306007,26.66096750896247,31.25002949438226,T1Ka = confirmed inner roof / T_s_in target,T1Ke = upper-zone indoor air proxy / T_air_upper,"T2A2 = candidate outer roof interface above slab, below substrate",0.995634730840582
T1Ke_upper_air_hin_6,6.0,T1Ka,T1Ke,T2A2,3459,0.5700505242681476,0.70344261960545,0.8226511187415845,0.8871993244420262,4.846575000000001,4.121685914117677,-0.7248890858823245,0.7248890858823245,2026-04-01 15:14:00,2026-04-02 14:01:00,21.398405436805035,48.47865022665712,26.121396558847664,34.97356292392078,26.459432,31.306007,26.774627161389276,30.896313075506953,T1Ka = confirmed inner roof / T_s_in target,T1Ke = upper-zone indoor air proxy / T_air_upper,"T2A2 = candidate outer roof interface above slab, below substrate",1.2132958305722403
T1Ke_upper_air_hin_4,4.0,T1Ka,T1Ke,T2A2,3459,0.500796097629913,0.7250328022861607,0.8162955860274328,0.8541627575475831,4.846575000000001,3.5997629858590017,-1.2468120141409997,1.2468120141409997,2026-04-01 15:14:00,2026-03-31 17:13:00,21.398337913993032,48.477298326439325,26.121396558847664,34.97356292392078,26.459432,31.306007,26.902805782879966,30.502568768738968,T1Ka = confirmed inner roof / T_s_in target,T1Ke = upper-zone indoor air proxy / T_air_upper,"T2A2 = candidate outer roof interface above slab, below substrate",1.4761609037110368
T1Ke_upper_air_hin_3,3.0,T1Ka,T1Ke,T2A2,3459,0.4495729982542057,0.7376616726339401,0.8207641676728521,0.8311031956025972,4.846575000000001,3.448312654161384,-1.3982623458386172,1.3982623458386172,2026-04-01 15:14:00,2026-03-31 17:13:00,21.39817544800303,48.47647704040327,26.121396558847664,34.97356292392078,26.459432,31.306007,26.963557136764337,30.41186979092572,T1Ka = confirmed inner roof / T_s_in target,T1Ke = upper-zone indoor air proxy / T_air_upper,"T2A2 = candidate outer roof interface above slab, below substrate",1.5621195416915115
T1Ke_upper_air_hin_2,2.0,T1Ka,T1Ke,T2A2,3459,0.3798132802788588,0.7459738229235708,0.8316460999667151,0.8012588644653825,4.846575000000001,3.29533831230259,-1.5512366876974113,1.5512366876974113,2026-04-01 15:14:00,2026-03-31 17:16:00,21.397867827564085,48.47516064566685,26.121396558847664,34.97356292392078,26.459432,31.306007,27.010507811495245,30.305846123797835,T1Ka = confirmed inner roof / T_s_in target,T1Ke = upper-zone indoor air proxy / T_air_upper,"T2A2 = candidate outer roof interface above slab, below substrate",1.656949727699075
