case,target_col,tin_proxy_col,is_circular,n,bias_C,mae_C,rmse_C,corr,obs_amp_C,sim_amp_C,amp_error_C,obs_peak_time,sim_peak_time,Tf_min_C,Tf_max_C,Tin_used_min_C,Tin_used_max_C
T1Kd_internal_floor_proxy,T1Ka,T1Kd,False,3459,0.07084065641571305,0.6380132370642109,0.8136240800731837,0.7743052970894728,4.846575000000001,2.5638383950335992,-2.282736604966402,2026-04-01 15:14:00,2026-04-02 14:50:00,21.397322762684837,48.47999785339755,27.51228299382268,30.385831740455615
T1Kc_wall_proxy,T1Ka,T1Kc,False,3459,0.5563745855082836,0.6187101182068574,0.8524565684626512,0.9148330169627867,4.846575000000001,5.1792679651154,0.3326929651153989,2026-04-01 15:14:00,2026-04-02 14:00:00,21.397692649220915,48.47696563709826,25.837230652327776,35.84656530739335
T1Kb_wall_proxy,T1Ka,T1Kb,False,3459,0.6726382671831492,0.6739839974087475,0.9169532745913834,0.9114469326803932,4.846575000000001,5.346695127917428,0.5001201279174268,2026-04-01 15:14:00,2026-04-02 13:59:00,21.39833438252049,48.49838195384291,25.909182306511866,35.93904154007083
default_no_dynamic_Tin,T1Ka,geom.T_in_default,False,3459,0.7785478906219845,1.037332957087255,1.1863586372315496,0.8093728304791921,4.846575000000001,1.9429450191740898,-2.9036299808259116,2026-04-01 15:14:00,2026-04-02 14:38:00,21.39911457759672,48.52634995851173,29.5,29.5
T1Ka_circular_do_not_use,T1Ka,T1Ka,True,3459,0.06550581056228454,0.5080751731853288,0.6177315715849612,0.8755180221448062,4.846575000000001,3.138393235116382,-1.7081817648836193,2026-04-01 15:14:00,2026-04-01 16:19:00,21.395590896661076,48.46563018970227,26.462996838796926,31.304751483943278
