trial,score,n,bias_C,mae_C,rmse_C,amp_model_C,amp_measured_C,amp_error_C,peak_error_C,min_error_C,H_g,H_slab,h_in,rho_g,theta_sat,k_theta_sat,lambda_dry,lambda_sat,LAI,cover_fraction,tau_f,error
35,6.225764581624554,3459,0.6390202998404568,1.8083682194557207,2.1614135456985384,9.487682988876713,13.027245000000004,-3.539562011123291,-2.651197904294648,0.888364106828643,0.06288058243124998,0.036083752940664376,9.457083438693825,385.81489748341403,0.7649959468332229,1.1962839321253125e-05,0.22036798892334097,0.9989119894707699,2.0265125396459664,0.6376217384747243,0.14408986837020654,
12,7.1828066154476575,3459,2.7695773899451868,3.296460997328495,3.861464457288235,10.15676873460609,13.027245000000004,-2.870476265393915,-0.9357767273873066,1.9346995380066083,0.08749233007774099,0.031333324085491686,5.0343629184501815,199.55866171508947,0.7981972457733557,3.07075386994923e-06,0.1019120147711536,0.3327223741780413,1.6989957727021103,0.45235578112213165,0.2812800295941993,
13,7.665219258221333,3459,4.339006897205845,4.396629425434396,4.908811196494482,11.635560437902086,13.027245000000004,-1.3916845620979181,2.016213727149861,3.407898289247779,0.08405305698501975,0.051015235340112784,6.522781677592042,190.71781938395782,0.9375677639724336,5.157279371684119e-06,0.286993215902583,0.3161839999379509,1.5273191624248725,0.6444241966127124,0.2844566137437457,
57,7.86680440584921,3459,0.6925205336144299,1.7400939915361457,2.0343100040311315,7.792746521929018,13.027245000000004,-5.234498478070986,-3.5561902535281575,1.6783082245428282,0.09249917689676343,0.050986964598478665,2.5528930863458785,199.2450713342883,0.8832029382587535,5.288663035768677e-06,0.34580664915352854,0.6219787649549224,2.362458864425528,0.5969456013164359,0.24842053763999317,
49,8.28424699070271,3459,2.4577172806880028,3.2200512768305045,3.6149809830629733,8.5543295364742,13.027245000000004,-4.472915463525805,-1.0735554500148652,3.3993600135109396,0.09360524456772928,0.04832211324405747,7.345152917911786,511.54099177748594,0.766352508549095,8.844437637562396e-06,0.06311101704294611,0.4172461268817932,1.592650115044344,0.4482507825549775,0.09147671696913341,
14,8.330465289602763,3459,0.9082085574423574,1.8502374893279454,2.1131584878563547,7.4039581151948255,13.027245000000004,-5.623286884805179,-3.5882035376386767,2.035083347166502,0.08358640261880376,0.06051170507927154,3.7692931362810955,335.8374287509995,0.8062017207414613,4.449645853691193e-06,0.06626750316529582,0.9110335393554863,2.223473312127603,0.43414945339916644,0.18850903588476237,
45,8.35491782850724,3459,2.075355563673497,2.6551088126513958,3.0262515103541294,8.235715338159025,13.027245000000004,-4.791529661840979,-2.4022714081530836,2.3892582536878955,0.056802991713868184,0.056380003311764536,5.530127738266447,286.02864805597915,0.8217373799366346,6.850364800250094e-06,0.2635806325220077,0.768358785760968,1.8091361960857535,0.5397284910944258,0.24685805549648848,
55,8.751002017469391,3459,0.06236161186052624,1.5547249684659978,1.9605932475477361,7.055862328527155,13.027245000000004,-5.971382671472849,-4.863603362278937,1.107779309193912,0.055365722814650783,0.04585165799506104,7.475784458440587,477.8717933425536,0.9445417842627606,8.24790326033795e-06,0.19847670335204248,0.8591460505472062,2.23565738233889,0.7824175680310109,0.2908028058873449,
46,9.1023716245432,3459,4.628180133971095,4.649002363451111,5.333949516886251,14.355656770105838,13.027245000000004,1.3284117701058342,4.8961030750650565,3.5676913049592223,0.08245721917998397,0.057356364638491766,6.821106087998985,349.50894719161954,0.8038217733820274,1.2251905289353035e-05,0.3170568371498752,0.9868457578361534,1.5561759728112685,0.6621650688443415,0.24996760269095913,
28,9.39402151290012,3459,3.82713704859084,4.087866733007961,4.60312220728641,8.439761959561224,13.027245000000004,-4.58748304043878,0.3603180329216542,4.947801073360434,0.09510129401367967,0.08346081555784968,6.961107845962156,546.1282866517206,0.6903656625239442,6.192093276807599e-06,0.2091246323552202,0.936057715298046,1.486758921508977,0.5810536976602121,0.20989081780927754,
