n,bias_C,mae_C,rmse_C,amp_measured_C,amp_model_C,amp_error_C,peak_error_C,min_error_C,case,window_start,window_end,H_slab_m,lambda_s_W_mK,T_in_strategy
3459,-0.41422818285334095,1.0947493963808772,1.3136460393574085,14.839446999999996,14.457449063293893,-0.38199793670610305,-1.3221700448174047,-0.9401721081113017,CAM_WINDOW,2026-03-31 11:58:00,2026-04-02 21:42:00,0.1,1.74,rr_wall_mean
1623,-1.2521966764317427,1.503517100008231,1.6234548541040188,13.968475999999995,14.030097102721129,0.061621102721133525,-1.2954730673119812,-1.3570941700331147,C3_WINDOW,2026-04-09 11:05:00,2026-04-10 14:08:00,0.1,1.74,rr_wall_mean
