timestamp,T_a,RH,u,rain,G_sol
2026-04-03 14:58:00,33.4,70,2.2,0.0,199
2026-04-03 14:58:00,33.4,70,2.2,0.0,199
2026-04-03 14:59:00,33.3,70,2.2,0.0,185
2026-04-03 14:59:00,33.3,70,2.2,0.0,185
2026-04-03 15:00:00,33.3,70,1.8,0.0,178
2026-04-03 15:00:00,33.3,70,1.8,0.0,178
2026-04-03 15:01:00,33.3,70,2.2,0.0,171
2026-04-03 15:01:00,33.3,70,2.2,0.0,171
2026-04-03 15:02:00,33.2,70,1.8,0.0,163
2026-04-03 15:02:00,33.2,70,1.8,0.0,163
2026-04-03 15:03:00,33.2,70,0.9,0.0,163
2026-04-03 15:03:00,33.2,70,0.9,0.0,163
2026-04-03 15:04:00,33.2,70,0.1,0.0,165
2026-04-03 15:04:00,33.2,70,0.1,0.0,165
2026-04-03 15:05:00,33.2,71,0.1,0.0,318
2026-04-03 15:05:00,33.2,71,0.1,0.0,318
2026-04-03 15:06:00,33.2,71,0.9,0.0,318
2026-04-03 15:06:00,33.2,71,0.9,0.0,318
2026-04-03 15:07:00,33.2,70,1.8,0.0,369
2026-04-03 15:07:00,33.2,70,1.8,0.0,369
2026-04-03 15:08:00,33.2,70,2.7,0.0,336
2026-04-03 15:08:00,33.2,70,2.7,0.0,336
2026-04-03 15:09:00,33.2,70,2.7,0.0,336
2026-04-03 15:09:00,33.2,70,2.7,0.0,336
2026-04-03 15:10:00,33.1,70,1.3,0.0,225
2026-04-03 15:10:00,33.1,70,1.3,0.0,225
2026-04-03 15:11:00,33.1,71,1.3,0.0,202
2026-04-03 15:11:00,33.1,71,1.3,0.0,202
2026-04-03 15:12:00,33.1,71,1.8,0.0,171
2026-04-03 15:12:00,33.1,71,1.8,0.0,171
2026-04-03 15:13:00,33.1,71,2.2,0.0,137
2026-04-03 15:13:00,33.1,71,2.2,0.0,137
2026-04-03 15:14:00,33.1,71,1.3,0.0,125
2026-04-03 15:14:00,33.1,71,1.3,0.0,125
2026-04-03 15:15:00,33.0,71,0.1,0.0,116
2026-04-03 15:15:00,33.0,71,0.1,0.0,116
2026-04-03 15:16:00,33.0,70,1.3,0.0,111
2026-04-03 15:16:00,33.0,70,1.3,0.0,111
2026-04-03 15:17:00,33.0,71,2.2,0.0,111
2026-04-03 15:17:00,33.0,71,2.2,0.0,111
2026-04-03 15:18:00,32.9,71,0.9,0.0,104
