n,bias_C,mae_C,rmse_C,amp_measured_C,amp_model_C,amp_error_C,peak_error_C,min_error_C,outer_bias_C,outer_mae_C,outer_rmse_C,outer_amp_error_C,case,window_start,window_end,H_slab_m,lambda_s_W_mK,T_in_strategy,top_boundary_strategy,target_sensor,indoor_air_boundary_sensor,outer_roof_sensor
3459,-0.6892719133746213,2.00793625150737,2.245394833379719,14.839446999999996,17.910904145111374,3.0714571451113777,1.0321109505906847,-2.039346194520693,2.8737166070615943,3.7442987319777874,5.320270689666798,14.730093205803662,CAM_WINDOW,2026-03-31 11:58:00,2026-04-02 21:42:00,0.1,1.74,measured_air_t1tb,weather,T2Ka_RR_inner_roof,T1Tb_RR_indoor_air,T1Ta_RR_outer_roof
3459,-2.686030217377396,2.686596575277281,3.3472955898611416,14.839446999999996,8.099689047969207,-6.739757952030789,-7.73927400138664,-0.9995160493558508,0.001027619029379617,0.005053523071758477,0.010076785956063428,-0.007606941881356022,CAM_WINDOW,2026-03-31 11:58:00,2026-04-02 21:42:00,0.1,1.74,measured_air_t1tb,measured_outer_roof,T2Ka_RR_inner_roof,T1Tb_RR_indoor_air,T1Ta_RR_outer_roof
1623,-1.2847670474008441,2.3618605207159367,2.634118730400431,13.968475999999995,19.43980934354761,5.471333343547613,2.36229165501603,-3.1090416885315832,-3.119426075330921,4.020775399328504,6.015647039748699,-14.428852648590222,C3_WINDOW,2026-04-09 11:05:00,2026-04-10 14:08:00,0.1,1.74,measured_air_t1tb,weather,T2Ka_RR_inner_roof,T1Tb_RR_indoor_air,T1Ta_RR_outer_roof
1623,0.5761573665571031,4.417608836381597,5.287834896948831,13.968475999999995,29.362635490001992,15.394159490001996,11.702224935619903,-3.691934554382094,-0.003302913928446518,0.023398779749410858,0.03998969279893697,-0.014216872753351595,C3_WINDOW,2026-04-09 11:05:00,2026-04-10 14:08:00,0.1,1.74,measured_air_t1tb,measured_outer_roof,T2Ka_RR_inner_roof,T1Tb_RR_indoor_air,T1Ta_RR_outer_roof
