window,top_col,target_col,T_in_col,n,bias_C,mae_C,rmse_C,max_abs_error_C,sim_amp_C,obs_amp_C,amp_err_C,corr,score
C3_WINDOW,T1Kc,T2Kc,T1Ka,1623,0.0944422318722344,0.8262923760410253,0.995707441102988,1.9833748467612438,11.566668193885675,11.737891000000001,-0.17122280611432572,0.9413909565188693,1.081318844160151
C3_WINDOW,T1Kb,T2Kd,T1Ka,1623,0.09792840045307573,0.8855030796366254,1.082815866129542,2.9183060030467765,10.623477498148418,10.950058999999996,-0.3265815018515781,0.9213673342493861,1.246106617055331
C3_WINDOW,T1Kb,T2Kc,T1Ka,1623,0.2001458841764866,0.6747848687403015,0.7793702715995043,1.6606101736893528,10.623477498190994,11.737891000000001,-1.1144135018090076,0.9636255058359354,1.3365770225040081
C3_WINDOW,T3Kb,T2Kd,T1Ka,1623,-0.7515998147259212,0.7799341227773672,1.2258245750798509,3.5736370110210665,10.543378747425436,10.950058999999996,-0.4066802525745601,0.9330398854098391,1.429164701367131
C3_WINDOW,T1Kc,T1Ke,T1Ka,1623,-0.36279710184997227,0.7246829946894902,0.963175354382105,2.229719409601458,11.566668193708097,12.551531,-0.984862806291904,0.9595990935206453,1.4556067575280571
C3_WINDOW,T3Kb,T2Kc,T1Ka,1623,-0.6493823310024973,0.661075888033527,0.902540408632264,1.8994057726133562,10.543378747464658,11.737891000000001,-1.1945122525353433,0.9768400070052331,1.4997965348999358
C3_WINDOW,T1Ke,T2Kc,T1Ka,1623,0.3356535386279954,1.0816753471385698,1.2680326339368724,2.4302276442036295,11.19794568459821,11.737891000000001,-0.5399453154017912,0.9120002852025265,1.538005291637768
C3_WINDOW,T2Kd,T2Kc,T1Ka,1623,0.12830387834458234,0.7702189094624856,0.8791430587703317,1.6984306388120594,10.3295668432973,11.737891000000001,-1.408324156702701,0.9511035304817514,1.5833051371216822
C3_WINDOW,T2Kc,T2Kd,T1Ka,1623,-0.059439614651448675,1.140612641299529,1.4015992991761512,3.5568469028074396,10.560094247100778,10.950058999999996,-0.3899647528992176,0.8680262945468035,1.59658167562576
C3_WINDOW,T3Kb,T1Tb,T1Ka,1623,0.4618424040988097,0.7377477913252728,0.8579073021836177,1.3987387916261405,10.543378748137911,12.036446999999999,-1.4930682518620877,0.9802073821016011,1.6044414281146615
C3_WINDOW,T3Kc,T3Ke,T1Ka,1623,0.6042320107765182,0.7900784697135753,0.9564764505202433,1.8310045204580412,8.903470979630413,7.603691999999999,1.299778979630414,0.9523462840084442,1.6063659403354502
C3_WINDOW,T1Kc,T2Kd,T1Ka,1623,-0.007775251851151527,1.0777617476861272,1.3687995793649022,3.652071317777967,11.56666819385407,10.950058999999996,0.6166091938540745,0.8850495346124377,1.6771041762919394
C3_WINDOW,T1Kc,T1Kb,T1Ka,1623,-0.12163313954428559,1.2068738535730283,1.543193369672029,3.5937107355303155,11.566668193729413,11.240527,0.32614119372941275,0.8574193638616702,1.7062639665367354
C3_WINDOW,T1Ke,T2Kd,T1Ka,1623,0.2334360549046433,1.3237079180519935,1.5891217049420325,3.6109008734223664,11.197945684570868,10.950058999999996,0.24788668457087226,0.8501220485490889,1.7130650472274687
C3_WINDOW,T1Tb,T2Kd,T1Ka,1623,-0.8244432813258665,1.184326290458372,1.6935148526464363,4.5026211840738775,10.896777289242607,10.950058999999996,-0.05328171075738908,0.8635420998067127,1.7201557080251308
C3_WINDOW,T1Kb,T1Ke,T1Ka,1623,-0.2570934495456939,0.6248112721344717,0.778831876439449,1.8879521444098515,10.623477497946965,12.551531,-1.9280535020530358,0.9783738428282889,1.7428586274659668
C3_WINDOW,T3Ka,T3Ke,T1Ka,1623,0.1699837566683511,1.0640157450839516,1.2077299612113244,2.3701561655350076,6.51641302750312,7.603691999999999,-1.087278972496879,0.7872477708524672,1.7513694474597639
C3_WINDOW,T1Tb,T2Kc,T1Ka,1623,-0.7222257976024727,1.0442429053753295,1.3476634225687614,2.9499800527947784,10.896777289274212,11.737891000000001,-0.8411137107257893,0.921711742709218,1.768220277931656
C3_WINDOW,T1Ke,T1Kb,T1Ka,1623,0.11957816721148011,1.4525843280246142,1.751124217251277,3.6593639628122503,11.197945684460478,11.240527,-0.042581315539521825,0.8185819002663919,1.772414875021038
C3_WINDOW,T3Kb,T1Kb,T1Ka,1623,-0.8654577024190058,0.8956162645323837,1.4299017823046098,3.5035261280388212,10.543378747268264,11.240527,-0.6971482527317363,0.9140840027813414,1.778475908670478
C3_WINDOW,T1Kc,T1Tb,T1Ka,1623,1.2056669669734936,1.3160263571658493,1.5494205218965422,2.5888255446128916,11.566668194420288,12.036446999999999,-0.4697788055797112,0.9473132787226255,1.7843099246863978
C3_WINDOW,T3Kd,T3Ke,T1Ka,1623,0.20323946450527705,0.9555801427204322,1.0662553535731414,2.040556547153585,6.1490477482915935,7.603691999999999,-1.4546442517084053,0.8351934440372054,1.793577479427344
C3_WINDOW,T2Kd,T1Kb,T1Ka,1623,-0.08777149307199465,1.133047104242828,1.3436143850894262,2.846379314817753,10.329566843086639,11.240527,-0.9109601569133616,0.881710809179463,1.799094463546107
C3_WINDOW,T3Ke,T3Kc,T1Ka,1623,0.3709549112332886,1.2799860754929049,1.5153064415898403,3.0770055454614997,8.611106515980453,8.042295,0.5688115159804532,0.767211190705116,1.799712199580067
C3_WINDOW,T2Ka,T2Kc,T1Ka,1623,0.5258142565826576,1.568519300351121,1.8555584334757047,3.463525032138083,11.802257548140403,11.737891000000001,0.0643665481404021,0.837753034324445,1.8877417075459058
C3_WINDOW,T2Kc,T1Kb,T1Ka,1623,-0.17329750234458624,1.2929788258804225,1.5949883579199986,3.538890138666005,10.560094246982601,11.240527,-0.6804327530173992,0.8379489009064034,1.9352047344286982
C3_WINDOW,T3Kd,T3Ka,T1Ka,1623,0.7726246815140494,0.7888205709431365,0.9768878102913191,2.133051989368724,6.149047748685348,4.214979,1.9340687486853483,0.9828770581192068,1.9439221846339931
