datetime,model_theta_top,model_theta_mid,model_theta_bot,model_theta_mean,j_eva,j_pr,G_sol,rika_corrected_theta_2cm,rika_raw_theta_2cm,rika_corrected_theta_7cm,rika_raw_theta_7cm
2026-03-31 12:17:00,0.5243733418490694,0.5014563769424402,0.46351042485462146,0.4989193081162496,0.00022672358760750575,0.0,809.0,0.5480999999999999,0.7829999999999999,0.4627174999999999,0.661025
2026-03-31 12:18:00,0.523079056951456,0.5015779099240908,0.46354708271285594,0.4987776693076614,0.0002563591608743965,0.0,784.0,0.5480883333333333,0.7829833333333333,0.4626999999999999,0.6609999999999999
2026-03-31 12:19:00,0.5209754941765592,0.5016878689640346,0.4635885484358265,0.4986068538089855,0.0004147071786268036,0.0,809.0,0.5466999999999999,0.7809999999999999,0.46339416666666666,0.6619916666666668
2026-03-31 12:20:00,0.5204616583997042,0.5017867039215674,0.46363488874721703,0.49846262020370957,0.00020734574756978353,0.0,786.0,0.5467058333333332,0.7810083333333333,0.4634,0.662
2026-03-31 12:21:00,0.5206388493565566,0.5018748649783662,0.4636861452113357,0.4983526808101095,0.000100029762991906,0.0,821.0,0.5474,0.782,0.4634,0.662
2026-03-31 12:22:00,0.52104922024427,0.5019527988293639,0.4637423377789632,0.49828004907291423,0.0001115986299080048,0.0,403.0,0.5473941666666666,0.7819916666666666,0.4634,0.662
2026-03-31 12:23:00,0.5197956829813175,0.5020209415835836,0.46380346784025256,0.4981753884550013,0.00020995844782544838,0.0,719.0,0.5466941666666665,0.7809916666666665,0.46270583333333326,0.6610083333333332
2026-03-31 12:24:00,0.5186691116672346,0.5020797093835133,0.4638695208155909,0.4980506184362435,0.00019667785223797938,0.0,719.0,0.5459999999999999,0.78,0.4626999999999999,0.6609999999999999
2026-03-31 12:25:00,0.5194233603566458,0.5021294913886322,0.46394046833175934,0.4979701732767543,3.9236280938328524e-05,0.0,269.0,0.5459941666666666,0.7799916666666666,0.4626999999999999,0.6609999999999999
2026-03-31 12:26:00,0.5199905408922367,0.5021706534345873,0.4640162700372532,0.49792892462252475,7.997240063436047e-05,0.0,269.0,0.5452941666666666,0.7789916666666667,0.46200583333333334,0.6600083333333333
2026-03-31 12:27:00,0.5200257451278176,0.5022035547257799,0.4640968751110468,0.4978795837894372,7.682464186419748e-05,0.0,269.0,0.5446,0.778,0.4626941666666666,0.6609916666666666
2026-03-31 12:28:00,0.5203725951221364,0.5022285667983813,0.46418222351588523,0.4978410838098364,3.707100548390716e-05,0.0,269.0,0.5445941666666667,0.7779916666666666,0.46200583333333334,0.6600083333333333
2026-03-31 12:29:00,0.5195913157661773,0.5022460803773146,0.46427224704216397,0.49778222409158146,0.00012296600829723038,0.0,269.0,0.5438999999999999,0.777,0.46199999999999997,0.66
2026-03-31 12:30:00,0.5185380135733225,0.5022565003504347,0.46436687018261247,0.49769642265351915,8.908308100567825e-05,0.0,754.0,0.5438999999999999,0.777,0.46199999999999997,0.66
2026-03-31 12:31:00,0.51656548456248,0.5022602418809458,0.4644660108721251,0.49758004673011774,0.00021845540214417727,0.0,754.0,0.543905737704918,0.7770081967213115,0.46199999999999997,0.66
2026-03-31 12:32:00,0.5148825097020152,0.5022577331102335,0.46456958112143554,0.49744267258747804,0.00022958710423571043,0.0,872.0,0.5446,0.778,0.46199999999999997,0.66
2026-03-31 12:33:00,0.5144718329347779,0.5022494181224259,0.46467748756826194,0.49732361672421943,0.00010718924134598681,0.0,872.0,0.5431999999999999,0.7759999999999999,0.46199999999999997,0.66
2026-03-31 12:34:00,0.5138240239185513,0.5022357534997854,0.4647896319650272,0.4972255494512414,0.0001941412439392246,0.0,872.0,0.5431999999999999,0.7759999999999999,0.4613,0.659
2026-03-31 12:35:00,0.5116070134363239,0.502217195684779,0.4649059116183544,0.49707391873187845,0.00026321176713361207,0.0,872.0,0.5438999999999999,0.777,0.4613,0.659
2026-03-31 12:36:00,0.5115275376805347,0.5021941804021586,0.4650262197922363,0.496951745639909,0.00013872520960565323,0.0,338.0,0.5431999999999999,0.7759999999999999,0.4613,0.659
2026-03-31 12:37:00,0.511017456697013,0.5021670992008712,0.4651504460840292,0.49685209143355524,0.00030526128046433484,0.0,338.0,0.5431999999999999,0.7759999999999999,0.4613,0.659
2026-03-31 12:38:00,0.5116761725946781,0.5021362811266736,0.4652784767801935,0.49677035424899674,4.39189663324484e-05,0.0,338.0,0.5431999999999999,0.7759999999999999,0.4613,0.659
2026-03-31 12:39:00,0.5120075648979519,0.5021019870847122,0.4654101951969242,0.49671935456570443,0.00011334786076919821,0.0,482.0,0.5435484374999999,0.7764977678571428,0.4612970833333333,0.6589958333333333
